name,cost,champName,skinType,skinLine,date
"Lord Darius",975,darius,,"lord","May 23, 2012"
"Blackthorn Morgana",1350,morgana,,"blackthorn","May 23, 2012"
"Tyrant Swain",1350,swain,,"tyrant","May 23, 2012"
"Blight Crystal Varus",975,varus,,"blight-crystal","May 8, 2012"
"Frostblade Irelia",975,irelia,,"frostblade","May 1, 2012"
"Rune Wars Renekton",975,renekton,Legacy,"rune-wars","May 1, 2012"
"Gatekeeper Galio",1820,galio,Legendary,"gatekeeper","April 23, 2012"
"Blood Knight Hecarim",975,hecarim,,"blood-knight","April 18, 2012"
"Reaper Hecarim",975,hecarim,,"reaper","April 18, 2012"
"Warlord Shen",975,shen,,"warlord","April 18, 2012"
"Battle Bunny Riven",975,riven,,"battle-bunny","April 6, 2012"
"Crime City Graves",975,graves,,"crime-city","April 2, 2012"
"Fisherman Fizz",975,fizz,,"fisherman","April 1, 2012"
"Jurassic Kog'Maw",975,kogmaw,,"jurassic","March 23, 2012"
"Bittersweet Lulu",975,lulu,,"bittersweet","March 20, 2012"
"Wicked Lulu",975,lulu,,"wicked","March 20, 2012"
"Battlecast Urgot",1350,urgot,,"battlecast","March 5, 2012"
"Vandal Gragas",975,gragas,Legacy,"vandal","March 3, 2012"
"Royal Guard Fiora",520,fiora,,"royal-guard","February 29, 2012"
"Nightraven Fiora",750,fiora,,"nightraven","February 29, 2012"
"Bladecraft Orianna",975,orianna,,"bladecraft","February 29, 2012"
"Dark Crystal Ryze",975,ryze,,"dark-crystal","February 20, 2012"
"Abyssal Nautilus",975,nautilus,,"abyssal","February 14, 2012"
"Subterranean Nautilus",975,nautilus,,"subterranean","February 14, 2012"
"Heartseeker Vayne",975,vayne,,"heartseeker","February 14, 2012"
"Iron Solari Leona",975,leona,,"iron-solari","February 10, 2012"
"Headhunter Master Yi",975,master-yi,,"headhunter","February 9, 2012"
"Scarlet Hammer Poppy",975,poppy,,"scarlet-hammer","February 1, 2012"
"Mad Scientist Ziggs",975,ziggs,,"mad-scientist","February 1, 2012"
"Major Ziggs",975,ziggs,Legacy,"major","February 1, 2012"
"Sabretusk Sejuani",975,sejuani,Legacy,"sabretusk","January 17, 2012"
"Darkrider Sejuani",975,sejuani,,"darkrider","January 17, 2012"
"Dragon Fist Lee Sin",975,lee-sin,Special Events,"dragon-fist","January 10, 2012"
"Guqin Sona",975,sona,Special Events,"guqin","January 10, 2012"
"Dragonblade Talon",975,talon,Special Events,"dragonblade","January 10, 2012"
"Jade Dragon Wukong",975,wukong,Special Events,"jade-dragon","January 10, 2012"
"Sandstorm Katarina",975,katarina,,"sandstorm","January 2, 2012"
"Superb Villain Veigar",975,veigar,,"superb-villain","January 2, 2012"
"Arctic Warfare Caitlyn",750,caitlyn,,"arctic-warfare","December 29, 2011"
"Arctic Ops Kennen",975,kennen,,"arctic-ops","December 29, 2011"
"Full Machine Viktor",975,viktor,,"full-machine","December 29, 2011"
"Prototype Viktor",520,viktor,Legacy,"prototype","December 29, 2011"
"Dynasty Ahri",975,ahri,,"dynasty","December 14, 2011"
"Midnight Ahri",750,ahri,,"midnight","December 14, 2011"
"Toy Soldier Gangplank",975,gangplank,Special Events,"toy-soldier","December 13, 2011"
"Snowmerdinger",975,heimerdinger,Special Events,"snowmerdinger","December 13, 2011"
"Mistletoe LeBlanc",975,leblanc,Special Events,"mistletoe","December 13, 2011"
"Festive Maokai",975,maokai,Special Events,"festive","December 13, 2011"
"Frost Queen Janna",975,janna,,"frost-queen","December 5, 2011"
"Hyena Warwick",975,warwick,,"hyena","December 5, 2011"
"Silverfang Akali",975,akali,,"silverfang","November 29, 2011"
"Imperial Lux",975,lux,Legacy,"imperial","November 29, 2011"
"Thunder Lord Volibear",520,volibear,,"thunder-lord","November 29, 2011"
"Northern Storm Volibear",750,volibear,,"northern-storm","November 29, 2011"
"Musketeer Twisted Fate",750,twisted-fate,,"musketeer","November 21, 2011"
"Blood Lord Vladimir",1820,vladimir,Legendary,"blood-lord","November 21, 2011"
"Atlantean Fizz",520,fizz,,"atlantean","November 15, 2011"
"Amethyst Ashe",975,ashe,,"amethyst","November 15, 2011"
"Tundra Fizz",750,fizz,,"tundra","November 15, 2011"
"Temple Jax",750,jax,,"temple","November 15, 2011"
"Asylum Shaco",975,shaco,,"asylum","November 7, 2011"
"Jurassic Cho'Gath",975,chogath,,"jurassic","November 1, 2011"
"Crime City Miss Fortune",975,miss-fortune,,"crime-city","November 1, 2011"
"Boneclaw Shyvana",520,shyvana,,"boneclaw","November 1, 2011"
"Ironscale Shyvana",750,shyvana,,"ironscale","November 1, 2011"
"Surprise Party Fiddlesticks",975,fiddlesticks,Legendary,"surprise-party","October 27, 2011"
"FrankenTibbers Annie",975,annie,Special Events,"frankentibbers","October 19, 2011"
"Definitely Not Blitzcrank",520,blitzcrank,Special Events,"definitely-not","October 19, 2011"
"Hired Gun Graves",520,graves,,"hired-gun","October 19, 2011"
"Jailbreak Graves",975,graves,Legacy,"jailbreak","October 19, 2011"
"Bewitching Nidalee",975,nidalee,Special Events,"bewitching","October 19, 2011"
"Haunting Nocturne",520,nocturne,Special Events,"haunting","October 19, 2011"
"Super Teemo",975,teemo,,"super","October 10, 2011"
"Cryocore Brand",975,brand,,"cryocore","October 5, 2011"
"Officer Caitlyn",975,caitlyn,,"officer","October 5, 2011"
"Infiltrator Irelia",975,irelia,Legacy,"infiltrator","October 5, 2011"
"Battlecast Xerath",520,xerath,,"battlecast","October 5, 2011"
"Runeborn Xerath",750,xerath,,"runeborn","October 5, 2011"
"Winged Hussar Xin Zhao",975,xin-zhao,Legacy,"winged-hussar","September 27, 2011"
"Unchained Alistar",,alistar,,"unchained","September 23, 2011"
"Deep Sea Kog'Maw",975,kogmaw,,"deep-sea","September 19, 2011"
"Overlord Malzahar",975,malzahar,,"overlord","September 19, 2011"
"Crimson Elite Riven",520,riven,,"crimson-elite","September 14, 2011"
"Redeemed Riven",975,riven,,"redeemed","September 14, 2011"
"Reverse Annie",975,annie,,"reverse","September 5, 2011"
"Pentakill Karthus",750,karthus,,"pentakill","August 29, 2011"
"Mad Scientist Singed",750,singed,Legacy,"mad-scientist","August 27, 2011"
"PAX Sivir",,sivir,Special Events,"pax","August 26, 2011"
"Demolisher Nunu & Willump",975,nunu-amp-willump,,"demolisher","August 24, 2011"
"Renegade Talon",520,talon,,"renegade","August 24, 2011"
"Crimson Elite Talon",750,talon,,"crimson-elite","August 24, 2011"
"Dragonslayer Vayne",975,vayne,,"dragonslayer","August 24, 2011"
"Victorious Jarvan",,jarvan-iv,Special Events,"victorious-jarvan","August 23, 2011"
"Judgement Kayle",,kayle,Limited Edition,"judgement","August 23, 2011"
"Rugged Garen",750,garen,,"rugged","August 15, 2011"
"Obsidian Malphite",975,malphite,Legacy,"obsidian","August 15, 2011"
"Sandscourge Skarner",975,skarner,,"sandscourge","August 9, 2011"
"Earthrune Skarner",520,skarner,,"earthrune","August 9, 2011"
"Bloodstone Taric",975,taric,,"bloodstone","August 9, 2011"
"Full Metal Pantheon",975,pantheon,,"full-metal","August 1, 2011"
"Demonblade Tryndamere",1820,tryndamere,Legendary,"demonblade","August 1, 2011"
"Buccaneer Tristana",520,tristana,,"buccaneer","July 27, 2011"
"Darkforge Jarvan",975,jarvan-iv,,"darkforge-jarvan","July 26, 2011"
"Bloodfury Renekton",975,renekton,,"bloodfury","July 26, 2011"
"Volcanic Wukong",975,wukong,,"volcanic","July 26, 2011"
"General Wukong",750,wukong,,"general","July 26, 2011"
"Little Knight Amumu",750,amumu,,"little-knight","July 18, 2011"
"Warmonger Sion",975,sion,,"warmonger","July 18, 2011"
"Harbinger Kassadin",975,kassadin,,"harbinger","July 13, 2011"
"Defender Leona",750,leona,Legacy,"defender","July 13, 2011"
"Valkyrie Leona",520,leona,,"valkyrie","July 13, 2011"
"Blood Moon Akali",975,akali,,"blood-moon","July 7, 2011"
"Baron Von Veigar",975,veigar,Legacy,"baron-von","June 27, 2011"
"Viking Tryndamere",750,tryndamere,Legacy,"viking","June 24, 2011"
"Undertaker Yorick",520,yorick,,"undertaker","June 22, 2011"
